,Name,rel_date,orig_price,discounted_price,discount%
148,Portal Knights,02-25-2016,14.99,11.24,25.02
149,Paladins,09-15-2016,0.0,0.0,0.0
150,Counter-Strike: Global Offensive,08-21-2012,14.99,14.99,0.0
151,PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,29.99,29.99,0.0
152,Outlast 2,04-24-2017,29.99,29.99,0.0
153,SMITE,09-8-2015,0.0,0.0,0.0
154,Rocket League,07-6-2015,19.99,19.99,0.0
155,BlazBlue Centralfiction,04-25-2017,39.99,35.99,10.0
156,Warframe,03-25-2013,0.0,0.0,0.0
157,The Long Dark,09-22-2014,19.99,9.99,50.03
158,H1Z1: King of the Kill,02-17-2016,19.99,19.99,0.0
159,NieR:Automata ,03-17-2017,59.99,59.99,0.0
160,Batman : Arkham Knight,06-23-2015,19.99,7.99,60.03
161,Team Fortress 2,10-10-2007,0.0,0.0,0.0
162,War Thunder,08-15-2013,0.0,0.0,0.0
163,DRAGON QUEST HEROES  II,04-25-2017,59.99,59.99,0.0
164,FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,19.99,19.99,0.0
165,Batman: Arkham City - Game of the Year Edition,09-7-2012,19.99,4.99,75.04
166,Space Engineers,10-23-2013,24.99,7.49,70.03
167,Sniper Ghost Warrior 3,04-24-2017,49.99,49.99,0.0
168,Tom Clancy's Rainbow Six Siege,12-1-2015,14.99,14.99,0.0
169,Dota 2,07-9-2013,0.0,0.0,0.0
170,Grand Theft Auto V,04-13-2015,59.99,59.99,0.0
171,Batman: Arkham Asylum Game of the Year Edition,03-26-2010,19.99,4.99,75.04
172,Halo Wars: Definitive Edition,04-20-2017,19.99,19.99,0.0
173,Street Fighter V,02-15-2016,39.99,39.99,0.0
174,Batman : Arkham VR,04-25-2017,19.99,19.99,0.0
175,Star Trek Online,01-31-2012,0.0,0.0,0.0
176,Fallout Shelter,03-29-2017,0.0,0.0,0.0
177,Path of Exile,10-23-2013,0.0,0.0,0.0
178,Batman : Arkham Origins,10-25-2013,19.99,4.99,75.04
179,Sid Meier’s Civilization VI,10-20-2016,59.99,59.99,0.0
180,What Remains of Edith Finch,04-24-2017,19.99,19.99,0.0
181,Scanner Sombre,04-26-2017,11.99,9.59,20.02
182,Earthfall,04-26-2017,29.99,29.99,0.0
183,Rick and Morty: Virtual Rick-ality,04-20-2017,29.99,29.99,0.0
184,Stardew Valley,02-26-2016,14.99,14.99,0.0
185,Stellaris,05-9-2016,39.99,39.99,0.0
186,TERA,05-5-2015,0.0,0.0,0.0
187,RimWorld,07-15-2016,29.99,29.99,0.0
188,Dungeon Fighter Online,08-9-2016,0.0,0.0,0.0
189,Factorio,02-25-2016,20.0,20.0,0.0
190,NBA 2K17,09-20-2016,59.99,59.99,0.0
191,LEGO Batman,10-10-2008,19.99,4.99,75.04
192,LEGO Batman 2 DC Super Heroes ,06-22-2012,19.99,4.99,75.04
193,LEGO Batman 3: Beyond Gotham,11-11-2014,29.99,7.49,75.03
194,The Witcher 3: Wild Hunt,05-18-2015,39.99,39.99,0.0
195,DARK SOULS  III,04-11-2016,59.99,59.99,0.0
196,Silence,11-15-2016,29.99,14.99,50.02
197,Bayonetta,04-11-2017,19.99,19.99,0.0
198,Portal Knights,02-25-2016,14.99,11.24,25.02
199,Paladins,09-15-2016,0.0,0.0,0.0
